SMILES,Ki [nM]
O[C@]1(c2ccc(Cl)c(Cl)c2)C[C@@H]2CC[C@H](C1)N2Cc1c[nH]c2ccccc12,35.3
COc1ccc(C(=O)NCCCCN2CCN(c3ccccc3Cl)CC2)cc1OC,281.84
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(C#Cc2ccccc2)cc1,809.4442537939225
c1c2CCOc2cc2c1CC[C@@H]1[C@@H]2OCCN1CC1CC1,2511.89
CCN1CCC[C@H]1CNC(=O)c1c(O)c(Br)cc(OC)c1OC,1.019803902718557
Cc1cccc(C#N)c1-c1cccc2c1-c1cccc3c1[C@@H](C2)N(C)CC3,1109.0807004001106
N#Cc1cc(CN2CCN(c3ccccc3)CC2)c[nH]1,2856.57137141714
N#Cc1cc(N2CCN(CCN3Cc4ccccc4C3)C2=O)ccc1F,794.33
O=C1N(CCN2Cc3ccccc3C2)CCN1Cc1cc(Cl)ccc1Cl,794.33
Clc1cccc(C(OC2CC3CCC(C2)N3CCCc2ccccc2)c2ccccc2)c1,59.0
O=C1N(CCN2C[C@@H]3CC[C@H]2Cc2ccccc2C3)CCN1c1cccc(Cl)c1,25.12
Cc1cc2nc(C)c(CN3CCN(c4ccccc4)CC3)n2c(C)n1,9726.253132630263
CCN(Cc1ccc(-c2cc(S(=O)(=O)CC)ccc2OC)[nH]1)C1CCc2ccccc21,0.7943
COc1ccccc1N1CCN(CCCCOc2ccc(-c3cn4cccc(C)c4n3)cc2)CC1,159.0
CCCc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1,123.0
CC(=O)Nc1cccc(C2CCN(CCCC(=O)c3ccc(Cl)cc3)CC2)c1,1400.0
COc1ccc2[nH]c3c(CCNC3Cc3ccc4OCOc4c3)c2c1,1900.0
COc1ccc(CNCCN2CCN(Cc3cc4ccccc4[nH]3)CC2)cc1,4000.0
CCCN(CCN1CCN(Cc2cc3ccccc3[nH]2)CC1)c1ccc(Br)cc1,220.0
Brc1ccc(NCCN2CCN(Cc3cc4ccccc4[nH]3)CC2)cc1,920.0
O=C1N(CCN2Cc3ccccc3C2)CCN1c1cccc(Cl)c1,99.99999999999997
O=C1N(CCN2Cc3ccccc3C2)CCN1c1cc(Cl)cc(Cl)c1,6.31
O=C1N(CCN2Cc3ccccc3C2)CCN1Cc1ccccc1Cl,398.11
CCS(=O)(=O)c1ccc(OC)c(-c2ccc(CN3CCCCCC3c3ccccc3)[nH]2)c1,39.809999999999995
CCCN1CC(c2ccccc2)OC2c3cc(O)ccc3CCC21,375.0
c1ccc(-c2cccc(CN3CCN(c4cccc5c4OCCO5)CC3)c2)cc1,1.7
CN(C)CCC=C1c2ccccc2CCc2ccccc12,256.62423891752707
CN(CCCC12CCC(c3ccccc31)c1ccccc12)Cc1ccc(OCCCN2CCCCC2)cc1,146.0
c1ccc(-c2cccc(CN3CCN(c4cccc5c4OCCN5)CC3)c2)cc1,0.93
CCN(CC)CCCOc1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccc(OCCCN(CC)CC)cc3)nc3ccccc32)cc1,1495.0
Oc1nc2cccc(N3CCN(Cc4cccc(-c5ccc(F)cc5)n4)CC3)c2o1,3.0
OC1(c2ccc(Cl)cc2)CCNCC1,9105.04255344257
CC(C)(C)OC(=O)NCCCCCN1CCC(O)(c2ccc(Cl)cc2)CC1,2045.8658313780013
CC(C)(C)OC(=O)NCCCCCCN1CCC(O)(c2ccc(Cl)cc2)CC1,896.6088890926745
Cc1cc(C)c2c(N)c(C(=O)NCCCCN3CCC(O)(c4ccc(Cl)cc4)CC3)sc2n1,2244.3529134251594
COc1ccccc1N1CCN(CCNC(=O)c2c(N)c3c(C)c(Cl)c(OC)nc3s2)CC1,48.0794966695784
COc1ccccc1N1CCN(CCNC(=O)OC(C)(C)C)CC1,170.40897863669036
COc1ccccc1N1CCN(CCCCCNC(=O)OC(C)(C)C)CC1,12.059933664825856
Cc1cc(C)c2c(N)c(C(=O)NCCCCCN3CCC(O)(c4ccc(Cl)cc4)CC3)sc2n1,1987.615355142941
CC(C)(C)OC(=O)NCCCCCN1CCN(c2cccc(Cl)c2Cl)CC1,42.62998944405217
C#CCN(CCCCN1CCN(c2ccccc2)CC1)C1CCc2ccc(O)cc2C1,38.41942376702242
Clc1cccc(N2CCNCC2)c1Cl,567.5999983693895
O=C(CCCN1CCN(c2ncccn2)CC1)c1ccc(F)cc1,98.0
O=C(CCCN1CC2CC1CN2c1ccc(Cl)cc1)c1ccc(F)cc1,170.0
CCCN1CCO[C@@H]2c3cc4c(cc3CC[C@H]21)CCNC4=O,776.25
Cc1nn(C2CCN(Cc3cccc(C#N)c3)CC2)cc1-c1ccccc1,15.0
Cc1c(-c2ccccc2)cnn1C1CCN(Cc2cccc(Cl)c2)CC1,370.0
O=C(NCCCN1CCN(c2ccccc2)CC1)C1c2ccccc2-c2ccccc21,606.0
